area_id,area_name,city,pincode,delivery_charge
1279,Vadodara,Rajasthan,160017,57.09
17929,Kanpur,Gujarat,560001,-10.0
16678,Surat,Haryana,XXXXX,131.42
16658,Vadodara,Gujarat,324005,48.2
25215,Ahmedabad,Maharashtra,226001,30.13
28969,Ajmer,Tamil Nadu,560001,20.99
9626,Surat,Madhya Pradesh,999999,85.97
20541,Lucknow,Gujarat,400001,179.35
22090,,Maharashtra,110001,121.96
7829,Gurgaon,Punjab,110001,78.47
23274,Jaipur,Haryana,122001,172.6
28746,Amritsar,Tamil Nadu,380001,199.7
3059,Indore,Maharashtra,313001,173.9
17702,Pune,Gujarat,110001,141.82
27386,Mumbai,Gujarat,226001,157.65
27369,Ajmer,Uttar Pradesh,226001,112.6
9574,Pune,Maharashtra,226001,
22497,???,Uttar Pradesh,400001,199.84
28548,,Delhi,380001,141.23
28957,Jaipur,Gujarat,110001,14.67
27185,Lucknow,Punjab,302001,129.96
22982,NaN,Karnataka,122001,175.06
5721,Chandigarh,Delhi,201301,56.23
3821,Kota,Rajasthan,abc123,150.27
9633,Kanpur,Rajasthan,201301,23.8
18115,Udaipur,Punjab,122001,114.51
26971,Delhi,Madhya Pradesh,324005,173.21
21913,,Maharashtra,302001,-5.0
12702,Bhopal,Tamil Nadu,201301,10.01
5980,,Uttar Pradesh,160017,115.43
12111,Jaipur,Maharashtra,411001,135.49
4891,Bhopal,Uttar Pradesh,226001,131.55
17084,Pune,Madhya Pradesh,400001,49.3
9116,Jodhpur,Gujarat,201301,187.11
24386,Lucknow,Tamil Nadu,313001,69.74
17032,Kota,Delhi,110001,125.64
3972,Udaipur,Uttar Pradesh,400001,34.15
8619,Jaipur,Delhi,324005,
19638,Jaipur,Maharashtra,560001,36.42
8232,Kanpur,Maharashtra,560001,160.16
14333,Bhopal,Punjab,400001,158.52
2768,Noida,Tamil Nadu,313001,166.4
5221,Kota,Punjab,400001,50.39
29969,,Madhya Pradesh,226001,75.24
1838,Jaipur,Karnataka,560001,134.68
15952,Jodhpur,Haryana,302001,146.55
17823,NaN,Gujarat,324005,-10.0
28377,Kanpur,Haryana,110001,74.21
22223,Surat,Gujarat,160017,93.05
8529,Lucknow,Haryana,313001,20.09
13518,Vadodara,Maharashtra,560001,146.08
10388,Pune,Rajasthan,400001,150.18
16798,Bhopal,Delhi,160017,192.39
16119,Pune,Karnataka,560001,156.0
19115,Surat,Punjab,122001,64.78
15336,Indore,Uttar Pradesh,313001,156.62
29473,Bhopal,Haryana,201301,93.13
15092,Ahmedabad,Tamil Nadu,302001,108.08
21354,Udaipur,Punjab,122001,31.21
16905,Surat,Uttar Pradesh,226001,40.58
11636,Bengaluru,???,313001,16.49
12806,Noida,Rajasthan,324005,155.87
8715,Mumbai,Maharashtra,560001,56.92
12028,Vadodara,Madhya Pradesh,110001,197.04
14892,Ahmedabad,Uttar Pradesh,313001,38.15
10257,Chandigarh,Uttar Pradesh,302001,65.82
2933,Udaipur,Punjab,122001,108.92
5454,Chandigarh,Tamil Nadu,380001,171.49
6004,Bengaluru,,313001,147.26
6152,Ajmer,Haryana,122001,81.19
13739,Pune,Punjab,324005,191.21
4590,Chandigarh,,160017,42.63
16380,Ajmer,Gujarat,122001,70.13
9382,Pune,Gujarat,400001,151.24
27825,Amritsar,Delhi,560001,24.93
6281,Lucknow,Haryana,560001,28.9
25369,Pune,Delhi,110001,
9993,Amritsar,Punjab,999999,163.75
16504,Indore,Tamil Nadu,122001,33.71
17847,Pune,Punjab,380001,175.69
25675,Ahmedabad,Maharashtra,411001,191.83
14951,Ahmedabad,Maharashtra,226001,47.39
28945,Noida,Madhya Pradesh,560001,164.15
26572,Kota,Gujarat,313001,110.73
2919,Udaipur,Madhya Pradesh,201301,167.24
5658,Kanpur,Delhi,313001,136.12
20949,Noida,Rajasthan,110001,118.5
6290,Surat,???,380001,139.93
16362,Amritsar,Uttar Pradesh,110001,95.19
12484,Indore,Delhi,400001,180.41
9684,Indore,Haryana,122001,107.8
13703,,Punjab,313001,40.41
5387,Kanpur,Delhi,201301,96.67
5228,Pune,Delhi,324005,182.98
19852,Surat,Karnataka,201301,149.07
5983,???,Uttar Pradesh,313001,87.42
17438,,Rajasthan,324005,31.97
29611,Amritsar,Tamil Nadu,999999,173.04
27821,Amritsar,Haryana,122001,149.82
29870,Gurgaon,Uttar Pradesh,380001,10.66
27960,Indore,Uttar Pradesh,110001,47.38
22623,Pune,Gujarat,411001,133.48
27348,Delhi,Rajasthan,122001,71.74
20141,Bhopal,Rajasthan,122001,141.53
2901,Jaipur,Maharashtra,324005,129.68
6135,Jaipur,Karnataka,160017,63.05
19866,Jodhpur,Punjab,324005,27.84
10139,Jaipur,Madhya Pradesh,226001,170.38
24493,Bengaluru,Unknown,411001,112.55
22942,Bengaluru,Maharashtra,201301,151.18
3663,Mumbai,Tamil Nadu,560001,73.42
26359,Ajmer,???,400001,73.03
3028,Indore,Maharashtra,400001,195.15
6025,Udaipur,Tamil Nadu,160017,86.27
7496,Indore,Gujarat,122001,26.45
13801,Udaipur,Tamil Nadu,380001,36.4
3428,Kanpur,Karnataka,XXXXX,113.52
29265,Surat,Tamil Nadu,302001,62.46
1228,,Tamil Nadu,400001,140.88
6363,Noida,Madhya Pradesh,122001,110.54
16988,Mumbai,Maharashtra,201301,157.34
11457,Bhopal,Tamil Nadu,400001,35.82
23301,Delhi,Madhya Pradesh,226001,75.14
24983,Jaipur,Tamil Nadu,110001,109.17
2533,Pune,Madhya Pradesh,110001,16.08
24967,Lucknow,Haryana,324005,100.36
16071,Delhi,Karnataka,110001,149.68
24436,Bengaluru,Gujarat,226001,75.34
7614,Lucknow,Tamil Nadu,313001,31.87
4321,Bengaluru,Maharashtra,400001,149.98
6910,Bhopal,Gujarat,999999,21.48
267,Vadodara,Punjab,560001,66.42
9316,,Uttar Pradesh,122001,81.73
24860,Bengaluru,Maharashtra,313001,124.03
18423,Chandigarh,Maharashtra,302001,82.34
11698,Ajmer,Punjab,226001,62.21
20242,Vadodara,Delhi,380001,45.82
2458,,,560001,-10.0
15994,Surat,Delhi,160017,15.78
26203,Ajmer,Maharashtra,324005,174.3
5865,Bengaluru,Rajasthan,226001,42.53
6217,,Tamil Nadu,110001,169.61
13245,Jodhpur,Uttar Pradesh,560001,172.55
4903,Noida,Uttar Pradesh,110001,66.99
18761,Surat,Rajasthan,411001,144.92
29383,Bengaluru,Uttar Pradesh,160017,11.18
23262,Kota,???,201301,9999.0
15876,Ahmedabad,Madhya Pradesh,160017,
26443,Pune,Delhi,000000,58.69
26868,Chandigarh,Uttar Pradesh,122001,11.58
19565,Indore,Punjab,380001,159.19
5383,Lucknow,Madhya Pradesh,110001,-10.0
29164,Amritsar,Uttar Pradesh,160017,24.58
24986,Amritsar,???,400001,125.71
11032,Delhi,Maharashtra,122001,172.0
8736,Ajmer,Delhi,122001,126.31
27240,Surat,Gujarat,110001,157.23
6435,Gurgaon,Madhya Pradesh,226001,179.76
21434,Delhi,Haryana,122001,44.35
21855,Noida,Maharashtra,324005,170.4
2169,Chandigarh,Rajasthan,160017,15.36
21996,Vadodara,Maharashtra,226001,113.56
22562,Surat,,560001,168.58
24445,Ahmedabad,Karnataka,999999,73.09
21687,Lucknow,Uttar Pradesh,380001,-5.0
14577,Indore,,313001,194.95
13726,Amritsar,Punjab,122001,91.21
4707,Noida,Karnataka,380001,10.53
4297,Kanpur,Unknown,122001,95.74
28951,Amritsar,,226001,103.18
23586,Ahmedabad,Uttar Pradesh,302001,-10.0
3726,,Haryana,302001,31.12
20373,Jodhpur,Rajasthan,313001,17.78
6401,Indore,Uttar Pradesh,999999,116.89
5659,Kanpur,Madhya Pradesh,226001,78.67
28302,Ajmer,Maharashtra,380001,115.93
9677,Surat,Maharashtra,302001,15.07
26623,Kanpur,Punjab,226001,135.11
1044,Noida,Uttar Pradesh,226001,98.98
822,Bengaluru,Madhya Pradesh,abc123,38.15
13956,Bhopal,Gujarat,380001,72.52
14085,Lucknow,Delhi,302001,109.44
13283,Delhi,Delhi,400001,34.59
7485,Amritsar,Delhi,999999,175.57
25884,Bhopal,,400001,145.36
18716,Bhopal,Delhi,324005,154.18
28789,Jaipur,Tamil Nadu,160017,
27501,Vadodara,Uttar Pradesh,380001,71.14
26952,Delhi,Karnataka,110001,131.34
20217,Ahmedabad,Karnataka,302001,85.58
29059,Udaipur,Karnataka,110001,73.66
26022,Kota,Madhya Pradesh,560001,111.39
29884,,Madhya Pradesh,110001,28.04
13590,Noida,Delhi,110001,60.33
17992,Chandigarh,Rajasthan,226001,15.29
27034,Noida,Madhya Pradesh,110001,10.68
20549,Vadodara,Delhi,201301,147.05
29551,Udaipur,Punjab,110001,139.02
2904,Noida,Haryana,302001,43.9
28008,Udaipur,Karnataka,122001,82.18
3777,Chandigarh,???,160017,54.57
15479,Ahmedabad,Madhya Pradesh,400001,33.37
20538,Jaipur,Haryana,560001,174.45
12690,,Rajasthan,160017,80.74
8185,Udaipur,Rajasthan,400001,79.73
5041,Lucknow,Punjab,411001,178.48
29527,Noida,Rajasthan,560001,90.65
29218,Jaipur,Uttar Pradesh,122001,32.7
22503,Noida,Karnataka,110001,122.59
3185,Ajmer,Haryana,201301,39.58
5909,Gurgaon,Uttar Pradesh,110001,173.73
14652,,Madhya Pradesh,313001,57.1
17732,,Haryana,302001,117.44
1792,Udaipur,Haryana,abc123,70.96
1531,,Uttar Pradesh,380001,180.31
24120,Jodhpur,Gujarat,324005,41.25
3257,,Delhi,411001,49.78
211,Kota,Madhya Pradesh,313001,53.53
3190,Jaipur,Rajasthan,110001,89.24
1669,???,Rajasthan,302001,113.39
25619,Surat,Maharashtra,226001,171.11
3109,Ahmedabad,Rajasthan,380001,175.01
12241,Vadodara,Rajasthan,324005,84.79
4814,Bhopal,Punjab,560001,130.3
17688,Chandigarh,Unknown,122001,79.25
8506,Mumbai,Punjab,313001,110.26
5415,Delhi,Maharashtra,560001,103.86
9200,Vadodara,Punjab,160017,95.28
9474,Jaipur,Rajasthan,313001,90.08
24519,Lucknow,Delhi,400001,162.68
8011,Jodhpur,Delhi,400001,194.11
12114,Noida,Uttar Pradesh,411001,116.32
11506,Bhopal,Delhi,400001,26.06
27022,Udaipur,Karnataka,400001,-5.0
21480,Lucknow,Madhya Pradesh,313001,84.55
24164,Jodhpur,Uttar Pradesh,302001,31.42
7404,Udaipur,Haryana,226001,118.18
25310,Udaipur,Haryana,324005,84.38
4581,Kota,Maharashtra,226001,30.24
9277,Surat,Maharashtra,226001,52.08
23006,Noida,Madhya Pradesh,122001,90.84
28002,Bengaluru,Punjab,201301,66.3
24701,Ahmedabad,Punjab,313001,13.38
9527,Indore,Maharashtra,abc123,139.19
11718,Chandigarh,Madhya Pradesh,160017,57.29
3442,Gurgaon,Haryana,110001,91.78
23336,Bhopal,Karnataka,400001,181.79
23228,Bengaluru,Delhi,160017,134.69
24381,Surat,Maharashtra,411001,69.81
9935,Amritsar,Uttar Pradesh,380001,140.8
3397,Pune,Tamil Nadu,411001,50.57
1661,Jodhpur,Tamil Nadu,411001,107.7
10905,,Delhi,302001,132.67
15618,Mumbai,Maharashtra,226001,178.46
10204,Ahmedabad,Rajasthan,560001,103.55
29689,Bhopal,Madhya Pradesh,302001,174.76
20533,Kota,Maharashtra,110001,58.16
11579,Indore,Tamil Nadu,XXXXX,123.3
3411,Udaipur,Tamil Nadu,400001,183.74
15268,Surat,Punjab,411001,60.84
492,Kota,Delhi,160017,154.91
21508,Jodhpur,Gujarat,226001,96.99
13982,Amritsar,Madhya Pradesh,411001,193.63
27991,Bhopal,Karnataka,160017,75.85
12333,Kanpur,Rajasthan,380001,105.5
3548,???,Karnataka,110001,75.59
5406,Surat,Tamil Nadu,302001,114.53
15948,Surat,Delhi,411001,102.5
21280,Pune,Haryana,160017,11.64
17352,Noida,Uttar Pradesh,226001,136.79
20037,Delhi,Haryana,302001,157.83
1636,Noida,Maharashtra,302001,85.13
4169,Pune,Rajasthan,226001,37.57
10942,Kota,Rajasthan,324005,47.95
424,Pune,Madhya Pradesh,560001,90.87
28534,Bengaluru,Delhi,324005,9999.0
4700,Chandigarh,Punjab,400001,21.97
18090,Gurgaon,Uttar Pradesh,313001,198.23
4580,Gurgaon,Gujarat,226001,41.02
6603,Udaipur,Karnataka,324005,125.9
8562,Kanpur,Karnataka,313001,117.77
27344,Udaipur,Maharashtra,411001,87.59
20169,Amritsar,Delhi,560001,92.29
19898,Delhi,Maharashtra,302001,
19974,Jodhpur,Rajasthan,122001,50.12
28985,,Rajasthan,400001,195.73
14813,Kanpur,Delhi,226001,86.48
29802,Jodhpur,Delhi,110001,145.54
22687,Chandigarh,Rajasthan,313001,145.75
20884,Gurgaon,Karnataka,324005,80.4
5854,Ajmer,Tamil Nadu,226001,158.99
5027,Indore,Delhi,226001,198.38
21868,Lucknow,Gujarat,411001,117.65
4784,,Gujarat,302001,177.49
5837,Noida,Tamil Nadu,160017,41.44
13460,Vadodara,,302001,189.49
20153,Noida,Maharashtra,411001,193.44
274,Surat,Tamil Nadu,201301,195.31
29064,Kota,Gujarat,400001,129.45
29786,Vadodara,Delhi,226001,138.24
25878,Kanpur,Punjab,201301,
19081,NaN,Delhi,313001,62.59
8293,Vadodara,Madhya Pradesh,324005,102.6
22274,Jodhpur,Maharashtra,226001,68.01
20842,Ahmedabad,Maharashtra,122001,39.26
5423,Pune,Uttar Pradesh,302001,12.6
23279,Delhi,Maharashtra,122001,169.21
6759,Noida,Punjab,380001,158.49
5512,Delhi,Tamil Nadu,400001,35.73
6317,Surat,Delhi,324005,49.03
27221,Noida,Tamil Nadu,560001,87.55
5211,Lucknow,Madhya Pradesh,400001,185.93
26745,Chandigarh,Gujarat,122001,32.01
3032,Kanpur,Madhya Pradesh,411001,92.7
26321,Kanpur,Tamil Nadu,226001,122.24
20002,,Karnataka,313001,9999.0
18237,Jaipur,Delhi,110001,120.86
11962,Vadodara,Haryana,110001,184.98
429,Kanpur,Karnataka,122001,40.58
20052,Gurgaon,Haryana,201301,100.64
6245,Jodhpur,Uttar Pradesh,380001,133.81
1256,Surat,Punjab,201301,43.74
28227,Mumbai,Haryana,110001,65.64
6664,Lucknow,Maharashtra,226001,13.73
6626,Surat,Uttar Pradesh,324005,49.32
22370,Noida,Uttar Pradesh,313001,50.81
3877,Mumbai,Gujarat,160017,52.02
4597,Indore,Gujarat,110001,102.62
24962,,Maharashtra,160017,186.78
18474,Mumbai,Maharashtra,302001,162.66
26349,Amritsar,Tamil Nadu,201301,118.57
8241,Ajmer,Maharashtra,313001,
22096,Gurgaon,Rajasthan,226001,121.16
16773,Jodhpur,Maharashtra,122001,148.59
23083,Amritsar,Maharashtra,560001,173.98
25787,Vadodara,Maharashtra,122001,166.83
3589,Jodhpur,Delhi,110001,147.68
5437,Udaipur,Gujarat,302001,194.41
23078,Ahmedabad,Delhi,400001,126.82
21158,Ahmedabad,Tamil Nadu,110001,135.52
6814,Vadodara,Karnataka,122001,194.91
17179,Indore,Uttar Pradesh,324005,140.04
8603,Bhopal,Maharashtra,560001,60.31
6165,Mumbai,Gujarat,201301,161.49
21228,,Gujarat,324005,30.11
10009,Jaipur,Maharashtra,110001,41.38
25752,Bengaluru,Tamil Nadu,411001,114.38
2534,Kota,Delhi,313001,56.89
24338,Delhi,Tamil Nadu,201301,186.17
23949,Amritsar,Tamil Nadu,110001,160.88
3173,Indore,???,380001,111.19
21106,Gurgaon,Karnataka,160017,175.69
1332,Chandigarh,Maharashtra,560001,113.73
17293,Bhopal,Gujarat,324005,26.24
10169,Bhopal,Gujarat,380001,19.85
16306,Jaipur,Uttar Pradesh,380001,63.81
21851,Mumbai,Maharashtra,122001,110.56
21850,Bhopal,Uttar Pradesh,122001,151.48
2407,Lucknow,Haryana,400001,161.2
21306,Jodhpur,???,411001,9999.0
4970,Amritsar,Delhi,400001,104.18
9953,Lucknow,Uttar Pradesh,201301,116.97
24065,Ajmer,Maharashtra,160017,
15206,Bengaluru,Karnataka,160017,188.03
15096,Bengaluru,Maharashtra,302001,79.02
21832,Bhopal,Madhya Pradesh,122001,120.11
6461,Indore,Punjab,122001,73.37
27990,Pune,,122001,179.32
7336,NaN,Haryana,201301,76.12
7546,Ajmer,Punjab,313001,183.19
4660,Bhopal,Haryana,560001,186.79
12619,Jodhpur,Gujarat,411001,
9774,Mumbai,Punjab,226001,96.4
2886,Jaipur,Gujarat,201301,-10.0
13617,Ahmedabad,Maharashtra,400001,113.01
8915,Udaipur,Maharashtra,380001,136.65
23309,Kanpur,Karnataka,411001,168.59
13849,Bengaluru,Haryana,201301,146.9
25469,Kota,Delhi,400001,165.34
28487,Jodhpur,???,160017,151.99
2618,Noida,Uttar Pradesh,160017,86.12
458,Jaipur,Haryana,313001,35.62
12620,Indore,Unknown,411001,93.13
4171,Amritsar,Delhi,110001,123.1
26697,Ahmedabad,Maharashtra,313001,60.27
4820,Kota,Punjab,324005,-5.0
734,Ahmedabad,Haryana,560001,187.07
8930,Noida,Gujarat,302001,156.58
21901,Indore,Madhya Pradesh,110001,114.58
6320,Surat,Punjab,160017,25.39
5222,Amritsar,Gujarat,560001,51.9
10621,Ajmer,Unknown,122001,
22980,,Punjab,380001,49.75
13888,Kanpur,Maharashtra,201301,173.22
15307,Delhi,Uttar Pradesh,380001,178.43
27222,Jodhpur,Uttar Pradesh,201301,181.63
23925,Gurgaon,Delhi,313001,120.14
27749,Amritsar,Unknown,324005,186.81
16232,Mumbai,Maharashtra,160017,171.03
6691,Vadodara,Tamil Nadu,411001,131.57
2542,Indore,Rajasthan,160017,91.43
22847,Kota,Maharashtra,560001,
8740,Lucknow,Haryana,110001,
21529,Amritsar,Tamil Nadu,110001,87.41
16324,Noida,Madhya Pradesh,160017,165.44
24342,Chandigarh,,122001,128.44
13315,Bengaluru,Tamil Nadu,201301,144.1
