delivery_id,order_id,driver_id,vehicle_id,pickup_time,delivery_time,delivery_status,distance_km
1279,477.0,21737.0,7944.0,2023-08-07 08:20:35,2023-08-09 20:20:35,DELIVERED,94.0
17929,21458.0,22040.0,27341.0,2023-06-24 05:51:38,2023-06-26 02:51:38,DELIVERED,10.0
16678,,4757.0,13030.0,2024-05-11 18:36:01,2024-05-11 19:36:01,DELIVERED,82.0
16658,12179.0,16014.0,17339.0,2025-06-16 09:21:51,2025-06-18 23:21:51,IN_TRANSIT,41.0
25215,17889.0,14153.0,246.0,2024-10-21 20:05:44,2024-10-21 22:05:44,DELIVERED,41.0
28969,16569.0,22430.0,21321.0,2023-03-09 09:56:22,2023-03-10 22:56:22,,7.0
9626,9639.0,29523.0,13813.0,2023-09-24 05:50:39,2023-09-25 15:50:39,DELIVERED,
20541,18344.0,9730.0,14982.0,2024-06-12 14:00:56,2024-06-14 00:00:56,DELIVERED,47.0
22090,21185.0,25059.0,14150.0,2025-04-29 23:14:04,2025-05-01 16:14:04,DELIVERED,51.0
7829,5296.0,18854.0,10685.0,2024-07-08 07:28:09,2024-07-10 13:28:09,IN_TRANSIT,37.0
23274,19731.0,7459.0,19831.0,2023-03-17 05:13:53,2023-03-19 20:13:53,DELIVERED,42.0
28746,25152.0,24494.0,15090.0,2025-05-17 16:42:48,2025-05-19 07:42:48,DELIVERED,94.0
3059,21887.0,6407.0,19659.0,2024-08-29 02:23:03,2024-08-29 12:23:03,DELIVERED,7.0
17702,,3606.0,26516.0,2024-02-11 21:41:08,2024-02-13 13:41:08,FAILED,74.0
27386,6607.0,4031.0,29951.0,2024-12-30 02:04:55,2024-12-31 14:04:55,IN_TRANSIT,7.0
27369,2939.0,18698.0,10150.0,2024-03-20 18:07:58,2024-03-21 15:07:58,DELIVERED,58.0
9574,14358.0,2744.0,4482.0,2023-05-14 02:35:37,2023-05-14 21:35:37,IN_TRANSIT,96.0
22497,25704.0,4678.0,20366.0,2024-05-26 11:43:39,2024-05-26 12:43:39,DELIVERED,31.0
28548,518.0,16312.0,22619.0,2024-06-20 12:22:26,2024-06-21 07:22:26,IN_TRANSIT,7.0
28957,10487.0,18751.0,23543.0,2025-04-25 21:15:53,2025-04-26 21:15:53,DELIVERED,25.0
27185,18703.0,6318.0,7755.0,2025-04-04 05:59:29,2025-04-04 23:59:29,DELIVERED,48.0
22982,15638.0,14918.0,8888.0,2024-07-10 08:10:49,2024-07-12 04:10:49,FAILED,64.0
5721,9250.0,21032.0,20633.0,2025-02-01 08:57:57,2025-02-04 02:57:57,FAILED,1.0
3821,14455.0,387.0,6709.0,2024-08-25 02:14:32,2024-08-26 02:14:32,FAILED,45.0
9633,26419.0,10130.0,5413.0,2024-06-24 19:10:03,2024-06-24 22:10:03,DELIVERED,37.0
18115,22722.0,15997.0,17511.0,2023-11-05 07:47:02,2023-11-05 22:47:02,DELIVERED,55.0
26971,24231.0,6737.0,27134.0,2024-10-05 14:29:10,2024-10-08 07:29:10,DELIVERED,49.0
21913,26736.0,7415.0,23241.0,2025-06-02 21:44:27,2025-06-04 18:44:27,DELIVERED,56.0
12702,29291.0,28597.0,,2023-01-26 13:02:59,2023-01-29 07:02:59,IN_TRANSIT,89.0
5980,4861.0,21939.0,8888.0,2024-10-15 06:26:43,2024-10-18 04:26:43,DELIVERED,77.0
12111,26424.0,17103.0,29806.0,2024-06-01 07:58:37,2024-06-03 00:58:37,IN_TRANSIT,35.0
4891,5642.0,28416.0,29806.0,2023-12-26 23:18:05,2023-12-27 22:18:05,DELIVERED,22.0
17084,11219.0,12363.0,12067.0,2023-05-24 23:35:00,2023-05-27 19:35:00,FAILED,3.0
9116,10848.0,12909.0,8273.0,2023-05-05 02:31:18,2023-05-07 13:31:18,DELIVERED,55.0
24386,5038.0,11975.0,2963.0,2024-01-22 22:23:02,2024-01-25 11:23:02,DELIVERED,7.0
17032,22169.0,13426.0,27421.0,2024-04-16 15:07:22,2024-04-19 07:07:22,DELIVERED,-5.0
3972,441.0,15209.0,18544.0,2025-06-24 16:25:43,2025-06-27 10:25:43,IN_TRANSIT,58.0
8619,7381.0,18162.0,2096.0,2024-07-15 00:09:45,2024-07-17 10:09:45,FAILED,97.0
19638,2371.0,20251.0,29978.0,2023-05-27 09:28:49,2023-05-29 01:28:49,DELIVERED,1.0
8232,19754.0,10719.0,9228.0,2023-02-24 02:20:21,2023-02-26 11:20:21,DELIVERED,8.0
14333,18019.0,17304.0,18483.0,2024-08-03 21:39:31,2024-08-04 00:39:31,DELIVERED,999.0
2768,12696.0,29695.0,12044.0,2023-07-22 08:51:32,2023-07-22 12:51:32,DELIVERED,21.0
5221,26340.0,4882.0,29797.0,2024-05-03 21:46:48,2024-05-04 16:46:48,DELIVERED,35.0
29969,936.0,96.0,15355.0,2025-06-14 20:22:27,2025-06-16 21:22:27,DELIVERED,68.0
1838,21944.0,4608.0,,2024-04-22 05:12:06,2024-04-24 10:12:06,FAILED,16.0
15952,29391.0,7537.0,7079.0,2025-04-10 16:05:57,2025-04-11 22:05:57,DELIVERED,
