order_id,user_id,pickup_location,delivery_location,order_amount,order_status,created_at
1279,28320.0,Hyderabad,Chandigarh,1633.0,DELIVERED,2024-10-14
17929,2998.0,Mumbai,Mumbai,4989.0,SHIPPED,2023-05-26
16678,5363.0,,Hyderabad,3043.0,PLACED,2024-10-01
16658,22104.0,Bengaluru,Mumbai,642.0,SHIPPED,2025-04-24
25215,25196.0,Bengaluru,,2255.0,CANCELLED,2023-07-11
28969,659.0,Lucknow,Mumbai,1734.0,CANCELLED,2025-03-25
9626,16240.0,Bhopal,Hyderabad,2257.0,PLACED,2024-10-05
20541,2428.0,Mumbai,Chandigarh,616.0,DELIVERED,2023-03-26
22090,24977.0,Lucknow,Ahmedabad,4689.0,PLACED,2025-03-04
7829,22222.0,Hyderabad,Bengaluru,2228.0,PLACED,2023-10-14
23274,8060.0,Udaipur,Surat,1953.0,PLACED,2024-05-07
28746,5392.0,Delhi,Udaipur,659.0,PLACED,2023-01-24
3059,16504.0,Hyderabad,Pune,4942.0,CANCELLED,2024-08-01
17702,7612.0,Chandigarh,Bhopal,3368.0,SHIPPED,2023-11-28
27386,15499.0,Kolkata,Mumbai,384.0,SHIPPED,2023-02-19
27369,29468.0,Hyderabad,Pune,4779.0,DELIVERED,2024-05-16
9574,24363.0,Jaipur,Kolkata,294.0,DELIVERED,2024-11-15
22497,,Delhi,Jaipur,1357.0,PLACED,2024-09-14
28548,12332.0,Unknown,Surat,3229.0,CANCELLED,2023-08-02
28957,22237.0,Bengaluru,,4007.0,CANCELLED,2023-07-10
27185,15553.0,Bengaluru,Mumbai,1363.0,DELIVERED,2024-06-14
22982,10518.0,,Bengaluru,3344.0,CANCELLED,2024-10-22
5721,28823.0,Lucknow,Pune,3540.0,CANCELLED,2023-05-20
3821,21843.0,Chandigarh,,2542.0,DELIVERED,2024-06-03
9633,9657.0,Ahmedabad,Pune,3637.0,CANCELLED,2023-05-04
18115,15445.0,Mumbai,Pune,3607.0,DELIVERED,2025-02-15
26971,14040.0,Delhi,Surat,3307.0,,2025-06-15
21913,12093.0,Ahmedabad,Kolkata,3978.0,DELIVERED,2024-12-02
12702,13882.0,Lucknow,Udaipur,2164.0,SHIPPED,2023-06-18
5980,28786.0,Pune,Jaipur,2755.0,SHIPPED,2023-08-14
12111,2862.0,,Pune,3594.0,SHIPPED,2025-01-10
4891,21285.0,Hyderabad,Hyderabad,4065.0,SHIPPED,2024-10-13
17084,16200.0,,Surat,2611.0,SHIPPED,2024-08-08
9116,8753.0,Delhi,Kolkata,3814.0,PLACED,2025-03-27
24386,2624.0,Mumbai,Hyderabad,2919.0,PLACED,2023-11-22
17032,27341.0,Surat,Jaipur,3436.0,DELIVERED,2025-03-08
3972,26216.0,Pune,Surat,3598.0,SHIPPED,2023-11-01
8619,18846.0,Bengaluru,Bengaluru,-50.0,DELIVERED,2023-12-22
19638,23959.0,Lucknow,Ahmedabad,906.0,PLACED,2023-06-24
8232,2591.0,Hyderabad,Chandigarh,4953.0,DELIVERED,2025-03-04
14333,8700.0,Hyderabad,???,4727.0,DELIVERED,2023-02-11
2768,23788.0,Kolkata,Pune,130.0,DELIVERED,2024-09-13
5221,5203.0,Ahmedabad,Bengaluru,2091.0,PLACED,2023-09-08
29969,28582.0,,Ahmedabad,4641.0,,2025-02-07
1838,89.0,Pune,Ahmedabad,2131.0,SHIPPED,2024-09-14
15952,22358.0,Mumbai,Chandigarh,373.0,DELIVERED,2023-08-20
17823,7762.0,Udaipur,,4976.0,SHIPPED,2024-11-22
28377,20141.0,Hyderabad,Kolkata,,PLACED,2024-01-06
22223,5600.0,Bengaluru,Delhi,2857.0,SHIPPED,2023-09-16
8529,99999.0,Jaipur,Lucknow,3482.0,DELIVERED,2023-08-05
13518,22677.0,,Hyderabad,828.0,DELIVERED,2024-01-13
10388,25488.0,Hyderabad,Jaipur,4470.0,SHIPPED,2024-12-16
16798,8788.0,Chandigarh,Hyderabad,3368.0,SHIPPED,2023-07-25
16119,18262.0,Mumbai,Delhi,4769.0,DELIVERED,2023-07-10
19115,5198.0,Udaipur,Ahmedabad,4081.0,DELIVERED,2023-06-02
15336,4824.0,Unknown,,,SHIPPED,2025-03-28
29473,3971.0,Kolkata,Chandigarh,2196.0,SHIPPED,2023-05-26
15092,27500.0,Chandigarh,Jaipur,2241.0,DELIVERED,2024-10-17
21354,12804.0,Ahmedabad,Pune,587.0,DELIVERED,2023-12-26
16905,26906.0,Udaipur,Chandigarh,2913.0,CANCELLED,2024-05-21
11636,11802.0,Delhi,Lucknow,660.0,DELIVERED,2023-10-23
12806,4230.0,Surat,Unknown,2243.0,SHIPPED,2023-08-01
8715,8481.0,Jaipur,Mumbai,1169.0,DELIVERED,2024-03-13
12028,9464.0,Chandigarh,Mumbai,1194.0,CANCELLED,2024-07-31
14892,6077.0,Udaipur,Chandigarh,1423.0,PLACED,2025-04-12
10257,15883.0,Ahmedabad,Surat,4724.0,PLACED,2025-03-10
2933,22792.0,Surat,Lucknow,4274.0,DELIVERED,2024-02-23
5454,2217.0,Delhi,Lucknow,1944.0,PLACED,2024-06-14
6004,4231.0,Surat,Ahmedabad,3460.0,CANCELLED,2023-01-16
6152,1790.0,Lucknow,Mumbai,3358.0,DELIVERED,2025-06-24
13739,21126.0,Bengaluru,Pune,4506.0,SHIPPED,2023-07-16
