payment_id,order_id,user_id,amount,payment_method,payment_status,payment_time
1279,4884,289.0,3591.0,CARD,,2024-09-28 14:13:08
17929,29467,27102.0,4036.0,UPI,SUCCESS,2024-09-18 08:05:30
16678,26659,-1.0,4805.0,UPI,SUCCESS,2023-10-19 14:17:28
16658,1336,29016.0,3154.0,CASH,PENDING,2023-10-27 04:26:43
25215,25489,27593.0,1311.0,CARD,PENDING,2024-12-11 13:46:35
28969,28354,6552.0,735.0,CASH,SUCCESS,2024-10-04 12:50:46
9626,9785,10206.0,4049.0,UPI,SUCCESS,2023-08-19 05:15:44
20541,21495,221.0,1576.0,CARD,PENDING,2023-09-25 08:32:26
22090,28254,5430.0,2033.0,CARD,SUCCESS,2025-04-20 04:16:51
7829,19558,20484.0,4194.0,CASH,,2023-11-01 22:05:18
23274,28719,4997.0,2335.0,CASH,FAILED,2024-11-10 06:14:54
28746,28281,9499.0,889.0,CARD,SUCCESS,2024-10-05 18:01:29
3059,2736,18975.0,4105.0,UPI,SUCCESS,2023-12-09 03:59:00
17702,357,26027.0,208.0,CASH,SUCCESS,2023-02-25 08:51:37
27386,22867,3879.0,480.0,CASH,SUCCESS,2024-10-03 16:15:28
27369,5048,23195.0,2752.0,CASH,SUCCESS,2024-05-19 19:13:37
9574,964,3839.0,3932.0,???,SUCCESS,2024-11-20 00:09:56
22497,8643,23763.0,1374.0,UPI,PENDING,2024-07-09 12:06:27
28548,11598,7615.0,1668.0,NETBANKING,FAILED,2024-01-12 05:18:04
28957,16606,22019.0,3496.0,CARD,SUCCESS,2025-06-11 23:30:50
27185,25949,23636.0,4591.0,UPI,SUCCESS,2024-11-26 16:23:32
22982,14987,21035.0,1638.0,UPI,SUCCESS,2025-06-06 13:28:02
5721,10708,27342.0,-100.0,CARD,SUCCESS,2023-09-18 04:29:06
3821,28984,9446.0,4796.0,UPI,SUCCESS,2025-05-18 07:35:41
9633,16445,12385.0,3874.0,UPI,FAILED,2024-02-21 00:58:35
18115,18066,14256.0,2881.0,CARD,SUCCESS,2023-10-09 01:17:29
26971,13428,19569.0,738.0,NETBANKING,SUCCESS,2024-01-23 16:41:31
21913,17404,,,UPI,SUCCESS,2024-02-23 15:02:56
12702,25758,25141.0,2049.0,UPI,SUCCESS,2025-04-07 15:55:25
5980,4123,-1.0,2620.0,CASH,FAILED,2024-03-12 10:15:04
12111,22448,16448.0,2717.0,NETBANKING,SUCCESS,2024-10-04 00:28:33
4891,27284,5577.0,4159.0,UPI,FAILED,2024-09-20 10:21:33
17084,17915,13188.0,2413.0,NETBANKING,PENDING,2023-01-29 14:33:00
9116,16114,14048.0,2564.0,CARD,SUCCESS,2025-06-07 19:46:42
24386,29194,8316.0,4222.0,NETBANKING,SUCCESS,2024-09-24 00:39:02
17032,22827,16486.0,677.0,CARD,SUCCESS,2024-05-14 18:07:00
3972,9668,18418.0,1748.0,CARD,SUCCESS,2025-05-12 12:30:51
8619,29332,574.0,1057.0,UPI,SUCCESS,2024-06-09 00:07:51
19638,28653,-1.0,3208.0,CARD,SUCCESS,2023-02-23 20:12:23
8232,4713,14205.0,568.0,CASH,SUCCESS,2023-04-09 10:29:10
14333,23484,9747.0,766.0,UPI,SUCCESS,2024-12-19 18:37:45
2768,19113,28747.0,3857.0,CARD,PENDING,2024-03-18 06:59:07
5221,7029,19178.0,380.0,UPI,PENDING,2024-10-16 16:33:48
29969,11865,6600.0,2315.0,UPI,SUCCESS,2023-09-15 15:19:04
1838,10441,3804.0,3414.0,UPI,SUCCESS,2023-11-11 19:11:41
15952,1000,26981.0,2719.0,CASH,FAILED,2023-03-21 00:22:02
17823,21219,27323.0,505.0,CASH,,2024-01-27 10:29:10
28377,20130,27098.0,270.0,UPI,SUCCESS,2025-01-15 04:28:45
22223,11081,2838.0,4099.0,UPI,SUCCESS,2024-08-18 10:03:52
8529,9608,17769.0,4474.0,CARD,SUCCESS,2024-11-02 12:48:36
13518,4347,26397.0,1475.0,UPI,FAILED,2024-01-15 21:42:32
10388,7530,25057.0,4392.0,UPI,FAILED,2024-08-20 12:15:26
16798,9772,17778.0,4242.0,CARD,SUCCESS,2024-05-04 03:50:32
16119,22663,2143.0,2591.0,UNKNOWN,SUCCESS,2025-04-25 02:51:48
19115,25208,6652.0,1557.0,NETBANKING,PENDING,2025-02-04 22:05:30
15336,3266,3336.0,4478.0,UPI,PENDING,2024-05-27 15:12:55
29473,22326,5447.0,3934.0,CASH,SUCCESS,2024-02-15 20:29:14
15092,23354,4387.0,3579.0,UPI,SUCCESS,2024-04-30 04:09:49
21354,21213,18085.0,3852.0,CARD,SUCCESS,2023-08-08 20:52:54
16905,10902,19152.0,2738.0,NETBANKING,PENDING,2023-05-24 02:43:40
11636,1049,15942.0,810.0,NETBANKING,FAILED,2023-12-09 19:36:19
