vehicle_id,vehicle_type,plate_number,capacity_kg,status
1279,VAN,DL04JG1497,388.0,ACTIVE
17929,BIKE,RJ32KS9059,24.0,ACTIVE
16678,SCOOTER,RJ29QB7756,18.0,ACTIVE
16658,VAN,RJ37YC3280,350.0,ACTIVE
25215,VAN,RJ10SC7650,495.0,ACTIVE
28969,BIKE,RJ25JT3947,11.0,INACTIVE
9626,VAN,DL08HT2247,472.0,ACTIVE
20541,,DL02SB1925,163.0,ACTIVE
22090,SCOOTER,DL03MF5191,26.0,ACTIVE
7829,UNKNOWN,RJ19GH2451,1820.0,INACTIVE
23274,BIKE,123,26.0,ACTIVE
28746,TRUCK,DL04DA4948,882.0,ACTIVE
3059,SCOOTER,RJ37RT7418,26.0,MAINTENANCE
17702,TRUCK,123,1421.0,ACTIVE
27386,VAN,DL08RD7522,138.0,INACTIVE
27369,TRUCK,RJ12BJ2817,1177.0,ACTIVE
9574,VAN,XXX000,211.0,ACTIVE
22497,,DL02IL6076,25.0,ACTIVE
28548,,RJ19IY2294,614.0,ACTIVE
28957,VAN,RJ19VL8273,280.0,INACTIVE
27185,SCOOTER,DL09EJ2975,22.0,ACTIVE
22982,BIKE,DL02XO8223,21.0,INACTIVE
5721,,DL05UJ5147,13.0,ACTIVE
3821,SCOOTER,RJ12OJ6091,24.0,ACTIVE
9633,SCOOTER,RJ37UF7040,16.0,INACTIVE
18115,VAN,DL04JJ6743,319.0,ACTIVE
26971,BIKE,RJ38DM7266,12.0,ACTIVE
21913,BIKE,RJ36QD2097,12.0,INACTIVE
12702,,RJ35DV9285,18.0,MAINTENANCE
5980,VAN,DL08KU6262,302.0,ACTIVE
12111,,DL04RP2470,11.0,
4891,BIKE,DL01ZU8699,11.0,INACTIVE
17084,BIKE,RJ35GH3902,12.0,MAINTENANCE
9116,SCOOTER,DL08TS9730,15.0,INACTIVE
24386,TRUCK,DL01LW7970,1911.0,ACTIVE
17032,BIKE,DL06QZ8841,25.0,ACTIVE
3972,BIKE,DL07WZ6491,-1.0,INACTIVE
8619,SCOOTER,DL05NK8012,24.0,ACTIVE
19638,BIKE,RJ26ZP6261,11.0,ACTIVE
8232,BIKE,DL03TC8438,12.0,ACTIVE
14333,VAN,DL05QG6493,269.0,ACTIVE
2768,BIKE,RJ35SE2353,18.0,INACTIVE
5221,SCOOTER,RJ38QW4089,32.0,MAINTENANCE
29969,BIKE,RJ26UC6406,21.0,ACTIVE
1838,SCOOTER,DL02TQ3590,30.0,MAINTENANCE
15952,VAN,DL03HY4957,468.0,ACTIVE
17823,TRUCK,123,786.0,ACTIVE
28377,,DL07VX8390,27.0,INACTIVE
22223,SCOOTER,RJ39WA3105,18.0,ACTIVE
8529,VAN,DL07SX2519,120.0,MAINTENANCE
13518,BIKE,DL07WD7369,16.0,
10388,???,RJ11YB8991,408.0,ACTIVE
16798,BIKE,DL08FS3581,29.0,INACTIVE
16119,BIKE,RJ21PS8870,25.0,ACTIVE
19115,BIKE,DL08UY9217,28.0,ACTIVE
15336,BIKE,DL04XG5834,15.0,ACTIVE
29473,TRUCK,RJ22IX4333,,INACTIVE
15092,BIKE,DL04AB4024,13.0,ACTIVE
21354,SCOOTER,DL09NQ6417,,ACTIVE
16905,UNKNOWN,DL08TS9730,18.0,ACTIVE
11636,BIKE,DL01FX1892,25.0,ACTIVE
12806,,DL04YU9394,1540.0,
8715,???,DL01WE5746,224.0,ACTIVE
12028,BIKE,RJ35AT4117,14.0,INACTIVE
14892,BIKE,DL04ZG1726,22.0,ACTIVE
10257,VAN,DL01QK8938,175.0,ACTIVE
2933,BIKE,RJ26UY6128,23.0,ACTIVE
5454,VAN,DL02IK6773,483.0,ACTIVE
6004,BIKE,RJ30IL7458,16.0,ACTIVE
6152,BIKE,DL05XK1405,16.0,ACTIVE
13739,SCOOTER,RJ20HM2818,36.0,ACTIVE
4590,TRUCK,RJ36XH5765,1627.0,INACTIVE
16380,BIKE,DL04MT8755,15.0,INACTIVE
9382,SCOOTER,RJ24UB1744,18.0,INACTIVE
27825,SCOOTER,RJ32JD7566,32.0,MAINTENANCE
6281,BIKE,RJ32JD7566,13.0,ACTIVE
